Kdex,Ndex,Name,Type1,Type2,Link,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,Damaged Normally by,Weak to,Immue to,Resisant to
 #104, #104,Cubone,Ground,Null,https://bulbapedia.bulbagarden.net//wiki/Cubone_(Pok%C3%A9mon),50,50,95,40,50,35,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
 #105, #105,Marowak,Ground,Null,https://bulbapedia.bulbagarden.net//wiki/Marowak_(Pok%C3%A9mon),60,80,110,50,80,45,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
  , #105,Marowak,Fire,Ghost,https://bulbapedia.bulbagarden.net//wiki/Marowak_(Pok%C3%A9mon),60,80,110,50,80,45,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
 #106, #106,Hitmonlee,Fighting,Null,https://bulbapedia.bulbagarden.net//wiki/Hitmonlee_(Pok%C3%A9mon),50,120,53,35,110,87,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×']","['Flying_2×', 'Psychic_2×', 'Fairy_2×']",['None'],"['Rock_½×', 'Bug_½×', 'Dark_½×']"
 #107, #107,Hitmonchan,Fighting,Null,https://bulbapedia.bulbagarden.net//wiki/Hitmonchan_(Pok%C3%A9mon),50,105,79,35,110,76,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×']","['Flying_2×', 'Psychic_2×', 'Fairy_2×']",['None'],"['Rock_½×', 'Bug_½×', 'Dark_½×']"
 #108, #108,Lickitung,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Lickitung_(Pok%C3%A9mon),90,55,75,60,75,30,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #109, #109,Koffing,Poison,Null,https://bulbapedia.bulbagarden.net//wiki/Koffing_(Pok%C3%A9mon),40,65,95,60,45,35,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
 #110, #110,Weezing,Poison,Null,https://bulbapedia.bulbagarden.net//wiki/Weezing_(Pok%C3%A9mon),65,90,120,85,70,60,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
  , #110,Weezing,Poison,Fairy,https://bulbapedia.bulbagarden.net//wiki/Weezing_(Pok%C3%A9mon),65,90,120,85,70,60,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
 #111, #111,Rhyhorn,Ground,Rock,https://bulbapedia.bulbagarden.net//wiki/Rhyhorn_(Pok%C3%A9mon),80,85,95,30,30,25,"['Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Steel_2×', 'Water_4×', 'Grass_4×', 'Ice_2×']",['Electric_0×'],"['Normal_½×', 'Flying_½×', 'Poison_¼×', 'Rock_½×', 'Fire_½×']"
 #112, #112,Rhydon,Ground,Rock,https://bulbapedia.bulbagarden.net//wiki/Rhydon_(Pok%C3%A9mon),105,130,120,45,45,40,"['Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Steel_2×', 'Water_4×', 'Grass_4×', 'Ice_2×']",['Electric_0×'],"['Normal_½×', 'Flying_½×', 'Poison_¼×', 'Rock_½×', 'Fire_½×']"
 #113, #113,Chansey,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Chansey_(Pok%C3%A9mon),250,5,5,35,105,50,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #114, #114,Tangela,Grass,Null,https://bulbapedia.bulbagarden.net//wiki/Tangela_(Pok%C3%A9mon),65,55,115,100,40,60,"['Normal_1×', 'Fighting_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Poison_2×', 'Bug_2×', 'Fire_2×', 'Ice_2×']",['None'],"['Ground_½×', 'Water_½×', 'Grass_½×', 'Electric_½×']"
 #115, #115,Kangaskhan,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Kangaskhan_(Pok%C3%A9mon),105,95,80,40,80,90,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #116, #116,Horsea,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Horsea_(Pok%C3%A9mon),30,40,70,70,25,60,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #117, #117,Seadra,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Seadra_(Pok%C3%A9mon),55,65,95,95,45,85,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #118, #118,Goldeen,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Goldeen_(Pok%C3%A9mon),45,67,60,35,50,63,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #119, #119,Seaking,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Seaking_(Pok%C3%A9mon),80,92,65,65,80,68,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #120, #120,Staryu,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Staryu_(Pok%C3%A9mon),30,45,55,70,55,85,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #121, #121,Starmie,Water,Psychic,https://bulbapedia.bulbagarden.net//wiki/Starmie_(Pok%C3%A9mon),60,75,85,100,85,115,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Dragon_1×', 'Fairy_1×']","['Bug_2×', 'Ghost_2×', 'Grass_2×', 'Electric_2×', 'Dark_2×']",['None'],"['Fighting_½×', 'Steel_½×', 'Fire_½×', 'Water_½×', 'Psychic_½×', 'Ice_½×']"
 #122, #122,Mr. Mime,Psychic,Fairy,https://bulbapedia.bulbagarden.net//wiki/Mr._Mime_(Pok%C3%A9mon),40,45,65,100,120,90,"['Normal_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dark_1×', 'Fairy_1×']","['Poison_2×', 'Ghost_2×', 'Steel_2×']",['Dragon_0×'],"['Fighting_¼×', 'Psychic_½×']"
  , #122,Mr. Mime,Ice,Psychic,https://bulbapedia.bulbagarden.net//wiki/Mr._Mime_(Pok%C3%A9mon),40,45,65,100,120,90,"['Normal_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dark_1×', 'Fairy_1×']","['Poison_2×', 'Ghost_2×', 'Steel_2×']",['Dragon_0×'],"['Fighting_¼×', 'Psychic_½×']"
 #123, #123,Scyther,Bug,Flying,https://bulbapedia.bulbagarden.net//wiki/Scyther_(Pok%C3%A9mon),70,110,80,55,80,105,"['Normal_1×', 'Poison_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Rock_4×', 'Fire_2×', 'Electric_2×', 'Ice_2×']",['Ground_0×'],"['Fighting_¼×', 'Bug_½×', 'Grass_¼×']"
 #124, #124,Jynx,Ice,Psychic,https://bulbapedia.bulbagarden.net//wiki/Jynx_(Pok%C3%A9mon),65,50,35,115,95,95,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Dragon_1×', 'Fairy_1×']","['Rock_2×', 'Bug_2×', 'Ghost_2×', 'Steel_2×', 'Fire_2×', 'Dark_2×']",['None'],"['Psychic_½×', 'Ice_½×']"
 #125, #125,Electabuzz,Electric,Null,https://bulbapedia.bulbagarden.net//wiki/Electabuzz_(Pok%C3%A9mon),65,83,57,95,85,105,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Ground_2×'],['None'],"['Flying_½×', 'Steel_½×', 'Electric_½×']"
 #126, #126,Magmar,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Magmar_(Pok%C3%A9mon),65,95,57,100,85,93,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #127, #127,Pinsir,Bug,Null,https://bulbapedia.bulbagarden.net//wiki/Pinsir_(Pok%C3%A9mon),65,125,100,55,70,85,"['Normal_1×', 'Poison_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×']",['None'],"['Fighting_½×', 'Ground_½×', 'Grass_½×']"
 #128, #128,Tauros,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Tauros_(Pok%C3%A9mon),75,100,95,40,70,110,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #129, #129,Magikarp,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Magikarp_(Pok%C3%A9mon),20,10,55,15,20,80,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #130, #130,Gyarados,Water,Flying,https://bulbapedia.bulbagarden.net//wiki/Gyarados_(Pok%C3%A9mon),95,125,79,60,100,81,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Electric_4×']",['Ground_0×'],"['Fighting_½×', 'Bug_½×', 'Steel_½×', 'Fire_½×', 'Water_½×']"
 #131, #131,Lapras,Water,Ice,https://bulbapedia.bulbagarden.net//wiki/Lapras_(Pok%C3%A9mon),130,85,80,85,95,60,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Rock_2×', 'Grass_2×', 'Electric_2×']",['None'],"['Water_½×', 'Ice_¼×']"
 #132, #132,Ditto,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Ditto_(Pok%C3%A9mon),48,48,48,48,48,48,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #133, #133,Eevee,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Eevee_(Pok%C3%A9mon),55,55,50,45,65,55,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #134, #134,Vaporeon,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Vaporeon_(Pok%C3%A9mon),130,65,60,110,95,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #135, #135,Jolteon,Electric,Null,https://bulbapedia.bulbagarden.net//wiki/Jolteon_(Pok%C3%A9mon),65,65,60,110,95,130,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Ground_2×'],['None'],"['Flying_½×', 'Steel_½×', 'Electric_½×']"
 #136, #136,Flareon,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Flareon_(Pok%C3%A9mon),65,130,60,95,110,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #137, #137,Porygon,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Porygon_(Pok%C3%A9mon),65,60,70,85,75,40,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #138, #138,Omanyte,Rock,Water,https://bulbapedia.bulbagarden.net//wiki/Omanyte_(Pok%C3%A9mon),35,40,100,90,55,35,"['Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Grass_4×', 'Electric_2×']",['None'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Fire_¼×', 'Ice_½×']"
 #139, #139,Omastar,Rock,Water,https://bulbapedia.bulbagarden.net//wiki/Omastar_(Pok%C3%A9mon),70,60,125,115,70,55,"['Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Grass_4×', 'Electric_2×']",['None'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Fire_¼×', 'Ice_½×']"
 #140, #140,Kabuto,Rock,Water,https://bulbapedia.bulbagarden.net//wiki/Kabuto_(Pok%C3%A9mon),30,80,90,55,45,55,"['Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Grass_4×', 'Electric_2×']",['None'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Fire_¼×', 'Ice_½×']"
 #141, #141,Kabutops,Rock,Water,https://bulbapedia.bulbagarden.net//wiki/Kabutops_(Pok%C3%A9mon),60,115,105,65,70,80,"['Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Grass_4×', 'Electric_2×']",['None'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Fire_¼×', 'Ice_½×']"
 #142, #142,Aerodactyl,Rock,Flying,https://bulbapedia.bulbagarden.net//wiki/Aerodactyl_(Pok%C3%A9mon),80,105,65,60,75,130,"['Fighting_1×', 'Ghost_1×', 'Grass_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Steel_2×', 'Water_2×', 'Electric_2×', 'Ice_2×']",['Ground_0×'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Bug_½×', 'Fire_½×']"
 #143, #143,Snorlax,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Snorlax_(Pok%C3%A9mon),160,110,65,65,110,30,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #144, #144,Articuno,Ice,Flying,https://bulbapedia.bulbagarden.net//wiki/Articuno_(Pok%C3%A9mon),90,85,100,95,125,85,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Water_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_4×', 'Steel_2×', 'Fire_2×', 'Electric_2×']",['Ground_0×'],"['Bug_½×', 'Grass_½×']"
  , #144,Articuno,Psychic,Flying,https://bulbapedia.bulbagarden.net//wiki/Articuno_(Pok%C3%A9mon),90,85,100,95,125,85,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Water_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_4×', 'Steel_2×', 'Fire_2×', 'Electric_2×']",['Ground_0×'],"['Bug_½×', 'Grass_½×']"
 #145, #145,Zapdos,Electric,Flying,https://bulbapedia.bulbagarden.net//wiki/Zapdos_(Pok%C3%A9mon),90,90,85,125,90,100,"['Normal_1×', 'Poison_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Ice_2×']",['Ground_0×'],"['Fighting_½×', 'Flying_½×', 'Bug_½×', 'Steel_½×', 'Grass_½×']"
  , #145,Zapdos,Fighting,Flying,https://bulbapedia.bulbagarden.net//wiki/Zapdos_(Pok%C3%A9mon),90,90,85,125,90,100,"['Normal_1×', 'Poison_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Ice_2×']",['Ground_0×'],"['Fighting_½×', 'Flying_½×', 'Bug_½×', 'Steel_½×', 'Grass_½×']"
 #146, #146,Moltres,Fire,Flying,https://bulbapedia.bulbagarden.net//wiki/Moltres_(Pok%C3%A9mon),90,100,90,125,85,90,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Rock_4×', 'Water_2×', 'Electric_2×']",['Ground_0×'],"['Fighting_½×', 'Bug_¼×', 'Steel_½×', 'Fire_½×', 'Grass_¼×', 'Fairy_½×']"
  , #146,Moltres,Dark,Flying,https://bulbapedia.bulbagarden.net//wiki/Moltres_(Pok%C3%A9mon),90,100,90,125,85,90,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Rock_4×', 'Water_2×', 'Electric_2×']",['Ground_0×'],"['Fighting_½×', 'Bug_¼×', 'Steel_½×', 'Fire_½×', 'Grass_¼×', 'Fairy_½×']"
 #147, #147,Dratini,Dragon,Null,https://bulbapedia.bulbagarden.net//wiki/Dratini_(Pok%C3%A9mon),41,64,45,50,50,50,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Psychic_1×', 'Dark_1×']","['Ice_2×', 'Dragon_2×', 'Fairy_2×']",['None'],"['Fire_½×', 'Water_½×', 'Grass_½×', 'Electric_½×']"
 #148, #148,Dragonair,Dragon,Null,https://bulbapedia.bulbagarden.net//wiki/Dragonair_(Pok%C3%A9mon),61,84,65,70,70,70,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Psychic_1×', 'Dark_1×']","['Ice_2×', 'Dragon_2×', 'Fairy_2×']",['None'],"['Fire_½×', 'Water_½×', 'Grass_½×', 'Electric_½×']"
 #149, #149,Dragonite,Dragon,Flying,https://bulbapedia.bulbagarden.net//wiki/Dragonite_(Pok%C3%A9mon),91,134,95,100,100,80,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Steel_1×', 'Electric_1×', 'Psychic_1×', 'Dark_1×']","['Rock_2×', 'Ice_4×', 'Dragon_2×', 'Fairy_2×']",['Ground_0×'],"['Fighting_½×', 'Bug_½×', 'Fire_½×', 'Water_½×', 'Grass_¼×']"
 #150, #150,Mewtwo,Psychic,Null,https://bulbapedia.bulbagarden.net//wiki/Mewtwo_(Pok%C3%A9mon),106,110,90,154,90,130,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Fairy_1×']","['Bug_2×', 'Ghost_2×', 'Dark_2×']",['None'],"['Fighting_½×', 'Psychic_½×']"
 #151, #151,Mew,Psychic,Null,https://bulbapedia.bulbagarden.net//wiki/Mew_(Pok%C3%A9mon),100,100,100,100,100,100,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Fairy_1×']","['Bug_2×', 'Ghost_2×', 'Dark_2×']",['None'],"['Fighting_½×', 'Psychic_½×']"
 #001, #152,Chikorita,Grass,Null,https://bulbapedia.bulbagarden.net//wiki/Chikorita_(Pok%C3%A9mon),45,49,65,49,65,45,"['Normal_1×', 'Fighting_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Poison_2×', 'Bug_2×', 'Fire_2×', 'Ice_2×']",['None'],"['Ground_½×', 'Water_½×', 'Grass_½×', 'Electric_½×']"
 #002, #153,Bayleef,Grass,Null,https://bulbapedia.bulbagarden.net//wiki/Bayleef_(Pok%C3%A9mon),60,62,80,63,80,60,"['Normal_1×', 'Fighting_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Poison_2×', 'Bug_2×', 'Fire_2×', 'Ice_2×']",['None'],"['Ground_½×', 'Water_½×', 'Grass_½×', 'Electric_½×']"
